𦚢,(*qʷal)
𢦏,(*ʔslɯː)
𥁕,(*quːn)
𧶠,(*luɡ)
䜌,(*b·roːn)
一,(*qliɡ)
丁,(*rteːŋ)
丂,(*kʰluːʔ)
七,(*sn̥ʰid)
丈,(*daŋʔ)
三,(*suːm)
上,(*djaŋʔ)
下,(*ɡraːʔ)
不,(*pɯ)
丏,(*meːnʔ)
丐,(*kaːds)
丑,(*n̥ʰuʔ)
且,(*sʰjaːʔ)
世,(*hljebs)
丘,(*kʰʷɯ)
丙,(*pqraŋʔ)
丞,(*ɡljɯŋ)
並,(*beːŋʔ)
丩,(*kɯw)
中,(*tuŋ)
丮,(*kraɡ)
丯,(*kreːds)
丰,(*pʰoŋ)
丵,(*zroːwɢ)
丸,(*ɡʷaːn)
丹,(*taːn)
主,(*tjoʔ)
丽,(*reːls)
乂,(*ŋads)
乃,(*nɯːʔ)
久,(*kʷlɯʔ)
乇,(*ʔr'aːɡ)
之,(*tjɯ)
乍,(*zraːɡs)
乎,(*ɢaː)
乏,(*bob)
乘,(*ɦljɯŋ)
乙,(*qriɡ)
九,(*kuʔ)
乞,(*kʰɯds)
也,(*laːlʔ)
乳,(*njoʔ)
亂,(*roːns)
了,(*reːwʔ)
予,(*la)
二,(*njis)
于,(*ɢʷa)
云,(*ɢun)
互,(*ɡaːs)
五,(*ŋaːʔ)
井,(*skeŋʔ)
亘,()
亙,(*kɯːŋs)
亞,(*qraːɡs)
亡,(*maŋ)
亢,(*kaːŋ)
交,(*kreːw)
亥,(*ɡɯːʔ)
亦,(*laːɡ)
亨,(*qʰaŋʔ)
京,(*kraŋ)
人,(*njin)
仄,(*ʔsrɯɡ)
今,(*krɯm)
介,(*kreːds)
仌,(*pŋrɯŋ)
从,(*zloŋ)
付,(*pos)
令,(*ren)
以,(*lɯʔ)
伏,(*bɯɡs)
伐,(*bad)
休,(*qʰu)
余,(*la)
佩,(*bɯːs)
佾,(*lɯd)
侃,(*kʰaːnʔ)
來,(*m·rɯːɡ)
侖,(*run)
侯,(*ɡoː)
侵,(*sʰim)
便,(*ben)
保,(*puːʔ)
俞,(*l̥ʰus)
倉,(*sʰaːŋ)
倝,(*kaːns)
備,(*brɯɡs)
僉,(*skʰlam)
兀,(*ŋuːd)
允,(*lunʔ)
元,(*ŋon)
兄,(*hmraŋ)
充,(*l̥ʰjuŋ)
兆,(*l'ewʔ)
先,(*sɯːn)
光,(*kʷaːŋ)
克,(*kʰɯːɡ)
兌,(*l'oːds)
免,(*mronʔ)
兒,(*ŋeː)
兓,(*sl'ɯm)
兔,(*tʰaːs)
兜,(*toː)
兢,(*kɯŋ)
內,(*nuːbs)
全,(*zlon)
兩,(*raŋʔ)
八,(*preːd)
公,(*kloːŋ)
六,(*ruɡ)
兮,(*ɢeː)
共,(*kloŋ)
兵,(*praŋ)
其,(*kɯ)
具,(*ɡos)
典,(*tɯːnʔ)
兹,(*ʔsɯ)
兼,(*keːm)
冀,(*krɯls)
冃,(*muːɡs)
冉,(*njam)
冊,(*sʰreːɡ)
冋,(*kʷeːŋ)
再,(*ʔsɯːs)
冎,(*kroːlʔ)
冓,(*koː)
冖,(*meːɡ)
冗,(*njoŋʔ)
冘,(*lu)
冡,(*moːŋ)
冤,(*qon)
冥,(*meːŋ)
冬,(*tuːŋ)
几,(*krilʔ)
凡,(*bom)
凶,(*qʰoŋ)
凷,(*kʰuːds)
出,(*kʰljuds)
函,(*ɡuːm)
刀,(*taːw)
刃,(*njɯns)
刅,(*sʰraŋ)
分,(*pɯn)
列,(*red)
删,(*sraːn)
利,(*rids)
别,(*pred)
制,(*kjeds)
刷,(*sroːd)
則,(*ʔsɯːɡ)
剌,(*raːd)
前,(*zleːn)
力,(*rɯɡ)
加,(*kraːl)
劦,(*ɦleːb)
劫,(*kab)
勞,(*raːw)
勹,(*pruː)
勺,(*pljewɢ)
勿,(*mɯd)
匀,(*ɢʷin)
